run_dir,run_name,organism,replica_count,n_samples,fragment_bin,arm,metric,metric_label,n_in_bin,n_usable,mean,lift_over_shuffled,shuffled_mean
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,2-4,shuffled,exact_match,Exact Match,3,3,0.0,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,5-9,shuffled,exact_match,Exact Match,20,20,0.0,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,10-19,shuffled,exact_match,Exact Match,39,39,0.0,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,20-49,shuffled,exact_match,Exact Match,28,28,0.0,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,50+,shuffled,exact_match,Exact Match,9,9,0.0,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,2-4,deterministic,exact_match,Exact Match,3,3,1.0,1.0,0.0
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,5-9,deterministic,exact_match,Exact Match,20,20,0.7,0.7,0.0
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,10-19,deterministic,exact_match,Exact Match,39,39,0.23076923076923078,0.23076923076923078,0.0
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,20-49,deterministic,exact_match,Exact Match,28,28,0.17857142857142858,0.17857142857142858,0.0
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,50+,deterministic,exact_match,Exact Match,9,9,0.0,0.0,0.0
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,2-4,control,exact_match,Exact Match,3,3,1.0,1.0,0.0
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,5-9,control,exact_match,Exact Match,20,20,0.75,0.75,0.0
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,10-19,control,exact_match,Exact Match,39,39,0.38461538461538464,0.38461538461538464,0.0
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,20-49,control,exact_match,Exact Match,28,28,0.21428571428571427,0.21428571428571427,0.0
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,50+,control,exact_match,Exact Match,9,9,0.0,0.0,0.0
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,2-4,agentic,exact_match,Exact Match,3,3,1.0,1.0,0.0
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,5-9,agentic,exact_match,Exact Match,20,20,0.75,0.75,0.0
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,10-19,agentic,exact_match,Exact Match,39,39,0.4358974358974359,0.4358974358974359,0.0
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,20-49,agentic,exact_match,Exact Match,28,28,0.35714285714285715,0.35714285714285715,0.0
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,50+,agentic,exact_match,Exact Match,9,9,0.0,0.0,0.0
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,2-4,oracle,exact_match,Exact Match,3,3,1.0,1.0,0.0
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,5-9,oracle,exact_match,Exact Match,20,20,0.9,0.9,0.0
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,10-19,oracle,exact_match,Exact Match,39,39,0.7435897435897436,0.7435897435897436,0.0
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,20-49,oracle,exact_match,Exact Match,28,28,0.4642857142857143,0.4642857142857143,0.0
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,50+,oracle,exact_match,Exact Match,9,9,0.0,0.0,0.0
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,2-4,shuffled,similarity,Sequence Similarity,3,3,0.6904761904761906,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,5-9,shuffled,similarity,Sequence Similarity,20,20,0.6357713915686202,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,10-19,shuffled,similarity,Sequence Similarity,39,39,0.2593206565773678,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,20-49,shuffled,similarity,Sequence Similarity,28,28,0.09327896498130013,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,50+,shuffled,similarity,Sequence Similarity,9,9,0.041032540100440267,,
