run_dir,run_name,organism,replica_count,arm,arm_label,metric,metric_label,point,ci_low,ci_high,ci_method,n,confidence
140726_171539_agentic,"Agentic Evaluation (Yeast, esm_small, r100)",Yeast,100,shuffled,Random Order,exact_match,Exact Match,0.0,0.0,0.03699349820698566,wilson,100,0.95
140726_171539_agentic,"Agentic Evaluation (Yeast, esm_small, r100)",Yeast,100,deterministic,Fixed Settings,exact_match,Exact Match,0.16,0.10095288488804781,0.24420269389270238,wilson,100,0.95
140726_171539_agentic,"Agentic Evaluation (Yeast, esm_small, r100)",Yeast,100,control,Random Search (no LLM),exact_match,Exact Match,0.26,0.18404698464748134,0.35370989449187173,wilson,100,0.95
140726_171539_agentic,"Agentic Evaluation (Yeast, esm_small, r100)",Yeast,100,agentic,LLM-Guided,exact_match,Exact Match,0.26,0.18404698464748134,0.35370989449187173,wilson,100,0.95
140726_171539_agentic,"Agentic Evaluation (Yeast, esm_small, r100)",Yeast,100,oracle,Best Candidate (ceiling),exact_match,Exact Match,0.35,0.26364248243097527,0.44745556703112027,wilson,100,0.95
140726_171539_agentic,"Agentic Evaluation (Yeast, esm_small, r100)",Yeast,100,shuffled,Random Order,similarity,Sequence Similarity,0.21278215546998738,0.16451818904196866,0.2710159472752386,bca,100,0.95
140726_171539_agentic,"Agentic Evaluation (Yeast, esm_small, r100)",Yeast,100,deterministic,Fixed Settings,similarity,Sequence Similarity,0.5094978151119698,0.4448196194448266,0.5749677329565589,bca,100,0.95
140726_171539_agentic,"Agentic Evaluation (Yeast, esm_small, r100)",Yeast,100,control,Random Search (no LLM),similarity,Sequence Similarity,0.5484838863165337,0.47578388047252723,0.6203176193652158,bca,100,0.95
140726_171539_agentic,"Agentic Evaluation (Yeast, esm_small, r100)",Yeast,100,agentic,LLM-Guided,similarity,Sequence Similarity,0.5473613246363237,0.47708693389316287,0.6180606091850582,bca,100,0.95
140726_171539_agentic,"Agentic Evaluation (Yeast, esm_small, r100)",Yeast,100,oracle,Best Candidate (ceiling),similarity,Sequence Similarity,0.6473767699025692,0.5743203161566479,0.7166277832679279,bca,100,0.95
140726_171539_agentic,"Agentic Evaluation (Yeast, esm_small, r100)",Yeast,100,shuffled,Random Order,edit_similarity,Edit Similarity,,,,bca (insufficient n),0,0.95
140726_171539_agentic,"Agentic Evaluation (Yeast, esm_small, r100)",Yeast,100,deterministic,Fixed Settings,edit_similarity,Edit Similarity,0.5816741908533725,0.5364367043970983,0.6325136139921823,bca,100,0.95
140726_171539_agentic,"Agentic Evaluation (Yeast, esm_small, r100)",Yeast,100,control,Random Search (no LLM),edit_similarity,Edit Similarity,0.6333497515868423,0.5820194735801594,0.686121941279852,bca,100,0.95
140726_171539_agentic,"Agentic Evaluation (Yeast, esm_small, r100)",Yeast,100,agentic,LLM-Guided,edit_similarity,Edit Similarity,0.6411282056405565,0.5894797209847162,0.6947291960424903,bca,100,0.95
